Ireland,1819,0,19,0,5,1795,47,368.0,4.0
Chad,3,0,0,0,0,3,0,0.2,0.0
Malta,139,5,0,0,2,137,1,315.0,0.0
Channel Islands,80,14,1,0,0,79,0,460.0,6.0
Cayman Islands,8,0,1,0,0,7,0,122.0,15.0
Venezuela,107,0,1,0,31,75,2,4.0,0.04
Bolivia,61,0,0,0,0,61,0,5.0,0.0
Iceland,890,88,2,0,82,806,17,2608.0,6.0
Vatican City,4,0,0,0,0,4,0,4994.0,0.0
Syria,5,0,0,0,0,5,0,0.3,0.0
Iraq,458,76,40,4,122,296,0,11.0,1.0
Georgia,81,2,0,0,13,68,1,20.0,0.0
Congo,4,0,0,0,0,4,0,0.7,0.0
Saint Lucia,3,0,0,0,1,2,0,16.0,0.0
Turkey,3629,0,75,0,26,3528,136,43.0,0.9
Dominica,11,0,0,0,0,11,0,153.0,0.0
Estonia,575,37,1,0,11,563,7,433.0,0.8
Andorra,267,43,3,0,1,263,11,3456.0,39.0
Eswatini,6,0,0,0,0,6,0,5.0,0.0
USA,85762,327,1306,11,1868,82588,2122,259.0,4.0
Sweden,3046,206,92,15,16,2938,214,302.0,9.0
Guadeloupe,73,0,1,0,0,72,4,182.0,2.0
Singapore,683,0,2,0,172,509,17,117.0,0.3
DRC,51,0,3,0,2,46,0,0.6,0.03
Guinea-Bissau,2,0,0,0,0,2,0,1.0,0.0
Timor-Leste,1,0,0,0,0,1,0,0.8,0.0
Guyana,5,0,1,0,0,4,0,6.0,1.0
Macao,34,1,0,0,10,24,0,52.0,0.0
Benin,6,0,0,0,0,6,0,0.5,0.0
Luxembourg,1453,0,9,0,6,1438,3,2321.0,14.0
Tunisia,227,30,6,1,2,219,10,19.0,0.5
Antigua and Barbuda,7,0,0,0,0,7,0,71.0,0.0
S. Korea,9332,91,139,8,4528,4665,59,182.0,3.0
North Macedonia,219,18,3,0,3,213,1,105.0,1.0
Sri Lanka,106,0,0,0,7,99,5,5.0,0.0
Equatorial Guinea,12,0,0,0,0,12,0,9.0,0.0
Kazakhstan,135,22,1,0,3,131,0,7.0,0.05
Barbados,24,0,0,0,0,24,0,84.0,0.0
Belgium,7284,1049,289,69,858,6137,690,628.0,25.0
Nigeria,65,0,1,0,3,61,0,0.3,0.0
British Virgin Islands,2,0,0,0,0,2,0,66.0,0.0
New Caledonia,15,1,0,0,0,15,0,53.0,0.0
Cambodia,99,1,0,0,11,88,1,6.0,0.0
French Polynesia,30,0,0,0,0,30,0,107.0,0.0
Sudan,3,0,1,0,0,2,0,0.07,0.02
Greenland,9,3,0,0,2,7,0,159.0,0.0
Ghana,136,4,4,0,1,131,1,4.0,0.1
Gambia,3,0,1,0,0,2,0,1.0,0.4
Jamaica,26,0,1,0,2,23,0,9.0,0.3
Indonesia,1046,153,87,9,46,913,0,4.0,0.3
Austria,7393,484,58,9,225,7110,128,821.0,6.0
Brunei,115,1,0,0,11,104,1,263.0,0.0
Somalia,3,1,0,0,0,3,0,0.2,0.0
Liechtenstein,56,0,0,0,0,56,0,1469.0,0.0
El Salvador,13,0,0,0,0,13,0,2.0,0.0
Portugal,4268,724,76,16,43,4149,71,419.0,7.0
Egypt,495,0,24,0,102,369,0,5.0,0.2
Papua New Guinea,1,0,0,0,0,1,0,0.1,0.0
Gibraltar,35,0,0,0,13,22,0,1039.0,0.0
Togo,25,1,0,0,1,24,0,3.0,0.0
Palestine,91,5,1,0,17,73,0,18.0,0.2
Laos,6,0,0,0,0,6,0,0.8,0.0
Belarus,94,8,0,0,32,62,2,10.0,0.0
Croatia,551,56,3,0,37,511,14,134.0,0.7
Mozambique,7,0,0,0,0,7,0,0.2,0.0
Cameroon,88,13,2,1,2,84,0,3.0,0.08
Senegal,119,14,0,0,11,108,0,7.0,0.0
Aruba,28,0,0,0,1,27,0,262.0,0.0
Chile,1610,304,5,1,22,1583,7,84.0,0.3
Dominican Republic,488,0,10,0,3,475,0,45.0,0.9
Azerbaijan,122,0,3,0,15,104,6,12.0,0.3
Paraguay,52,11,3,0,1,48,1,7.0,0.4
China,81340,55,3292,5,74588,3460,1034,57.0,2.0
Curaçao,7,0,1,0,2,4,0,43.0,6.0
Tanzania,13,0,0,0,1,12,0,0.2,0.0
Bahrain,466,8,4,0,227,235,1,274.0,2.0
Namibia,8,0,0,0,2,6,0,3.0,0.0
Lebanon,391,23,7,1,23,361,3,57.0,1.0
Moldova,177,0,2,1,2,173,33,44.0,0.5
Mexico,585,110,8,2,4,573,1,5.0,0.06
Liberia,3,0,0,0,0,3,0,0.6,0.0
Zimbabwe,5,2,1,0,0,4,0,0.3,0.07
Switzerland,12311,500,207,15,897,11207,203,1422.0,24.0
Mali,11,7,0,0,0,11,0,0.5,0.0
India,863,136,20,0,73,770,0,0.6,0.01
Nepal,4,1,0,0,1,3,0,0.1,0.0
Greece,892,0,27,0,42,823,53,86.0,3.0
CAR,3,0,0,0,0,3,0,0.6,0.0
Turks and Caicos,2,0,0,0,0,2,0,52.0,0.0
Slovenia,632,70,9,3,10,613,14,304.0,4.0
Canada,4043,0,39,0,228,3776,120,107.0,1.0
Romania,1292,263,24,1,115,1153,32,67.0,1.0
Latvia,280,36,0,0,1,279,0,148.0,0.0
Suriname,8,0,0,0,0,8,0,14.0,0.0
Malaysia,2161,130,26,3,259,1876,54,67.0,0.8
Saint Martin,11,0,0,0,0,11,0,284.0,0.0
Eritrea,6,0,0,0,0,6,0,2.0,0.0
Oman,131,22,0,0,23,108,0,26.0,0.0
Peru,580,0,9,0,14,557,14,18.0,0.3
St. Vincent Grenadines,1,0,0,0,0,1,0,9.0,0.0
Morocco,275,0,11,0,8,256,1,7.0,0.3
Seychelles,7,0,0,0,0,7,0,71.0,0.0
Algeria,367,0,25,0,29,313,0,8.0,0.6
Costa Rica,231,0,2,0,2,227,5,45.0,0.4
Afghanistan,94,0,4,0,2,88,0,2.0,0.1
Pakistan,1252,51,9,0,23,1220,7,6.0,0.04
French Guiana,28,0,0,0,6,22,0,94.0,0.0
Belize,2,0,0,0,0,2,0,5.0,0.0
Iran,32332,2926,2378,144,11133,18821,2893,385.0,28.0
Angola,4,0,0,0,0,4,0,0.1,0.0
Saint Kitts and Nevis,2,0,0,0,0,2,0,38.0,0.0
Montserrat,5,0,0,0,0,5,0,1002.0,0.0
Faeroe Islands,144,4,0,0,54,90,2,2947.0,0.0
Mongolia,11,0,0,0,0,11,0,3.0,0.0
Grenada,7,0,0,0,0,7,0,62.0,0.0
Uzbekistan,83,8,1,1,5,77,8,2.0,0.03
Haiti,8,0,0,0,0,8,0,0.7,0.0
Ukraine,226,30,5,0,5,216,0,5.0,0.1
Poland,1289,68,16,0,7,1266,3,34.0,0.4
Burkina Faso,152,0,7,0,10,135,0,7.0,0.3
Bulgaria,276,12,3,0,9,264,8,40.0,0.4
Hong Kong,518,64,4,0,111,403,5,69.0,0.5
St. Barth,3,0,0,0,0,3,0,304.0,0.0
Rwanda,50,0,0,0,0,50,0,4.0,0.0
Australia,3180,130,13,0,170,2997,23,125.0,0.5
Israel,3035,342,11,3,79,2945,49,351.0,1.0
Lithuania,345,46,5,1,1,339,2,127.0,2.0
Slovakia,269,43,0,0,2,267,1,49.0,0.0
Norway,3687,315,16,2,6,3665,70,680.0,3.0
Ecuador,1403,0,34,0,3,1366,58,80.0,2.0
Gabon,7,0,1,0,0,6,0,3.0,0.4
UAE,333,0,2,0,52,279,2,34.0,0.2
Djibouti,12,1,0,0,0,12,0,12.0,0.0
Mauritania,3,0,0,0,0,3,0,0.6,0.0
Niger,10,0,1,0,0,9,0,0.4,0.04
Nicaragua,2,0,1,1,0,1,0,0.3,0.2
Honduras,68,1,1,0,0,67,0,7.0,0.1
UK,11658,0,578,0,135,10945,163,172.0,9.0
Philippines,803,96,54,9,31,718,1,7.0,0.5
Netherlands,8603,1172,546,112,3,8054,761,502.0,32.0
Uganda,18,4,0,0,0,18,0,0.4,0.0
Thailand,1136,91,5,1,97,1034,11,16.0,0.07
Bhutan,3,1,0,0,0,3,0,4.0,0.0
Sint Maarten,3,0,0,0,0,3,0,70.0,0.0
Fiji,5,0,0,0,0,5,0,6.0,0.0
Albania,186,12,8,2,31,147,3,65.0,3.0
Zambia,16,0,0,0,0,16,0,0.9,0.0
Argentina,589,0,13,1,72,504,0,13.0,0.3
France,29155,0,1696,0,4948,22511,3375,447.0,26.0
Guatemala,25,0,1,0,4,20,0,1.0,0.06
Jordan,212,0,0,0,2,210,0,21.0,0.0
Réunion,135,0,0,0,1,134,0,151.0,0.0
New Zealand,368,0,0,0,37,331,1,76.0,0.0
Anguilla,2,0,0,0,0,2,0,133.0,0.0
Saudi Arabia,1104,92,3,0,35,1066,6,32.0,0.09
San Marino,208,0,21,0,4,183,12,6130.0,619.0
Bangladesh,48,4,5,0,11,32,1,0.3,0.03
Italy,80589,0,8215,0,10361,62013,3612,1333.0,136.0
Libya,1,0,0,0,0,1,0,0.1,0.0
Spain,64059,6273,4858,493,9357,49844,4165,1370.0,104.0
Isle of Man,29,3,0,0,0,29,0,341.0,0.0
Kuwait,225,17,0,0,57,168,11,53.0,0.0
South Africa,927,0,2,2,12,913,7,16.0,0.03
Russia,1036,196,3,0,45,988,8,7.0,0.02
Czechia,2062,137,9,0,11,2042,34,193.0,0.8
Monaco,33,0,0,0,1,32,0,841.0,0.0
Denmark,2010,133,52,11,1,1957,109,347.0,9.0
Bahamas,9,0,0,0,1,8,0,23.0,0.0
Colombia,491,0,6,0,8,477,0,10.0,0.1
Cuba,67,0,2,0,1,64,2,6.0,0.2
Panama,674,0,9,0,2,663,20,156.0,2.0
Taiwan,267,15,2,0,30,235,0,11.0,0.08
Japan,1387,0,47,0,359,981,57,11.0,0.4
Ivory Coast,96,0,0,0,3,93,0,4.0,0.0
Finland,1041,83,5,0,10,1026,24,188.0,0.9
Brazil,2991,6,77,0,6,2908,296,14.0,0.4
Cyprus,146,0,3,0,4,139,3,121.0,2.0
Mayotte,50,14,0,0,0,50,0,183.0,0.0
Ethiopia,16,4,0,0,0,16,0,0.1,0.0
Martinique,81,0,1,0,0,80,12,216.0,3.0
Vietnam,163,10,0,0,20,143,3,2.0,0.0
Hungary,300,39,10,0,34,256,6,31.0,1.0
Germany,47373,3435,285,18,5673,41415,23,565.0,3.0
Maldives,14,1,0,0,9,5,0,26.0,0.0
Madagascar,24,1,0,0,0,24,0,0.9,0.0
Serbia,457,0,8,1,15,434,25,52.0,0.9
Bosnia and Herzegovina,230,39,3,0,5,222,1,70.0,0.9
Cabo Verde,5,0,1,0,0,4,0,9.0,2.0
Bermuda,15,0,0,0,2,13,0,241.0,0.0
Uruguay,238,0,0,0,0,238,3,69.0,0.0
Kyrgyzstan,58,14,0,0,0,58,0,9.0,0.0
Armenia,329,39,1,0,28,300,6,111.0,0.3
Diamond Princess,712,0,10,0,597,105,15,0.0,0.0
Qatar,549,0,0,0,43,506,6,191.0,0.0
Montenegro,70,1,1,0,0,69,1,111.0,2.0
Myanmar,5,0,0,0,0,5,0,0.09,0.0
Trinidad and Tobago,65,0,1,0,0,64,0,46.0,0.7
Mauritius,81,0,2,0,0,79,1,64.0,2.0
Guinea,8,4,0,0,0,8,0,0.6,0.0
Kenya,31,0,1,0,1,29,0,0.6,0.02
